###########\n####  @#  #\n#### #    #\n####  $#  #\n# $.  .## #\n#   ###  $#\n#   ###  .#\n###########
ID: 58, State: 77258797175C0EED5A4CD4D80BC9DC4E, Parent: 56, Action: u, Depth:11, Cost: 11.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 63, State: DE538BB0E224DC93760DE8C9FEBA8EB9, Parent: 58, Action: u, Depth:12, Cost: 12.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 72, State: B5F7DE134D5BEDF2D0837A1DC22B9773, Parent: 63, Action: l, Depth:13, Cost: 13.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 82, State: 0CD149DF5AD3692712290479A2DC4539, Parent: 72, Action: l, Depth:14, Cost: 14.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 86, State: DA007F206D70F0A6AC9A023BD01CA64F, Parent: 82, Action: l, Depth:15, Cost: 15.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 89, State: B7605D0C330846C39203A8E6C55B0CDA, Parent: 86, Action: d, Depth:16, Cost: 16.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 93, State: 0756822CD900FEA7730F106C0E4A02D2, Parent: 89, Action: l, Depth:17, Cost: 17.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 97, State: 5547ABDF711DF5B5778428632159C2A3, Parent: 93, Action: d, Depth:18, Cost: 18.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 102, State: 54E100912734671ACB05E19A09E1D8C2, Parent: 97, Action: l, Depth:19, Cost: 19.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 110, State: B5D0DC47F4D6211647CA886709522113, Parent: 102, Action: l, Depth:20, Cost: 20.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 112, State: 063127A0AD8E9B199FF19604466DE5EF, Parent: 110, Action: d, Depth:21, Cost: 21.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 116, State: A426A3A870169BDD7D6F7897184129EA, Parent: 112, Action: l, Depth:22, Cost: 22.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 121, State: D2ECDC44887ABEFE45CBFB0BBEDD8755, Parent: 116, Action: l, Depth:23, Cost: 23.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
ID: 125, State: 38274571BB37CB7DB21FE1ECA71BCDF5, Parent: 121, Action: u, Depth:24, Cost: 24.00, Heuristic: 1.00, Value: 1.00, Type:EXPANDED
